dataset,split,order,cell,rows,entities,repeat,secondary_repeat
sparkov,validation,reverse,gap_4,35422,142,0.0008187002427869686,0.040088080853706735
sparkov,validation,reverse,gap_5,37981,144,0.0018693557304968274,0.08501619230667966
sparkov,train,shuffle_101,all,915879,688,0.0020668669114588282,0.0995055023643953
sparkov,train,shuffle_101,gap_0,12,12,0.0,0.16666666666666666
sparkov,train,shuffle_101,gap_1,186665,686,0.00275895320493933,0.1400691077598907
sparkov,train,shuffle_101,gap_2,185199,677,0.002656601817504414,0.1284348187625203
sparkov,train,shuffle_101,gap_3,183470,666,0.0022237968060173324,0.10189131738158827
sparkov,train,shuffle_101,gap_4,181484,662,0.0009532520773181107,0.041044940600824316
sparkov,train,shuffle_101,gap_5,179049,684,0.0017034443085412374,0.08409988327217689
sparkov,validation,shuffle_101,all,177850,147,0.002035423109361822,0.09863368006747258
sparkov,validation,shuffle_101,gap_0,2,2,0.0,0.0
sparkov,validation,shuffle_101,gap_1,34176,147,0.0029260299625468167,0.14123946629213482
sparkov,validation,shuffle_101,gap_2,35000,144,0.002742857142857143,0.1284857142857143
sparkov,validation,shuffle_101,gap_3,35269,139,0.0018713317644390257,0.10119368283761944
sparkov,validation,shuffle_101,gap_4,35422,142,0.0008187002427869686,0.040088080853706735
sparkov,validation,shuffle_101,gap_5,37981,144,0.0018693557304968274,0.08501619230667966
sparkov,train,shuffle_102,all,915879,688,0.0020668669114588282,0.0995055023643953
sparkov,train,shuffle_102,gap_0,12,12,0.0,0.16666666666666666
sparkov,train,shuffle_102,gap_1,186665,686,0.00275895320493933,0.1400691077598907
sparkov,train,shuffle_102,gap_2,185199,677,0.002656601817504414,0.1284348187625203
sparkov,train,shuffle_102,gap_3,183470,666,0.0022237968060173324,0.10189131738158827
sparkov,train,shuffle_102,gap_4,181484,662,0.0009532520773181107,0.041044940600824316
sparkov,train,shuffle_102,gap_5,179049,684,0.0017034443085412374,0.08409988327217689
sparkov,validation,shuffle_102,all,177850,147,0.002035423109361822,0.09863368006747258
sparkov,validation,shuffle_102,gap_0,2,2,0.0,0.0
sparkov,validation,shuffle_102,gap_1,34176,147,0.0029260299625468167,0.14123946629213482
sparkov,validation,shuffle_102,gap_2,35000,144,0.002742857142857143,0.1284857142857143
sparkov,validation,shuffle_102,gap_3,35269,139,0.0018713317644390257,0.10119368283761944
sparkov,validation,shuffle_102,gap_4,35422,142,0.0008187002427869686,0.040088080853706735
sparkov,validation,shuffle_102,gap_5,37981,144,0.0018693557304968274,0.08501619230667966
sparkov,train,shuffle_103,all,915879,688,0.0020668669114588282,0.0995065942116808
sparkov,train,shuffle_103,gap_0,12,12,0.0,0.16666666666666666
sparkov,train,shuffle_103,gap_1,186665,686,0.00275895320493933,0.1400691077598907
sparkov,train,shuffle_103,gap_2,185199,677,0.002656601817504414,0.12844021835971037
sparkov,train,shuffle_103,gap_3,183470,666,0.0022237968060173324,0.10189131738158827
sparkov,train,shuffle_103,gap_4,181484,662,0.0009532520773181107,0.041044940600824316
sparkov,train,shuffle_103,gap_5,179049,684,0.0017034443085412374,0.08409988327217689
sparkov,validation,shuffle_103,all,177850,147,0.002035423109361822,0.09863368006747258
sparkov,validation,shuffle_103,gap_0,2,2,0.0,0.0
sparkov,validation,shuffle_103,gap_1,34176,147,0.0029260299625468167,0.14123946629213482
sparkov,validation,shuffle_103,gap_2,35000,144,0.002742857142857143,0.1284857142857143
sparkov,validation,shuffle_103,gap_3,35269,139,0.0018713317644390257,0.10119368283761944
sparkov,validation,shuffle_103,gap_4,35422,142,0.0008187002427869686,0.040088080853706735
sparkov,validation,shuffle_103,gap_5,37981,144,0.0018693557304968274,0.08501619230667966
