field,label,seed,events,original_mean,decoded_mean,original_p99,decoded_p99,exact_fraction,max_absolute_error
amount_or_numeric_value,0,20261304,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261304,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
amount_or_numeric_value,all,20261305,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
amount_or_numeric_value,0,20261305,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261305,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
amount_or_numeric_value,all,20261306,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
amount_or_numeric_value,0,20261306,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261306,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
amount_or_numeric_value,all,20261307,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
amount_or_numeric_value,0,20261307,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261307,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
amount_or_numeric_value,all,20261308,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
amount_or_numeric_value,0,20261308,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261308,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
amount_or_numeric_value,all,20261309,177997,73.35831530868498,73.35831530868498,577.1416000000003,577.1416000000003,1.0,0.0
amount_or_numeric_value,0,20261309,176851,70.45379302350565,70.45379302350565,501.54,501.54,1.0,0.0
amount_or_numeric_value,1,20261309,1146,521.5849040139616,521.5849040139616,1172.2469999999996,1172.2469999999996,1.0,0.0
