dataset,model,variant,generation_seed,q0,q0.01,q0.5,q0.9,q0.99,q0.999,q1
sparkov,G_action,raw,20261022.0,-909.4247605818733,-0.34161487140561575,46.09129884737574,162.90426143368666,779.9456309251508,4216.891776538223,735384.3603165009
sparkov,G_action,gap,20261021.0,-321.00878297800386,-0.37692147547209387,46.21483510970073,164.8046455400399,792.4166437479143,3710.448137845576,153427.44616031626
sparkov,G_action,gap,20261022.0,-909.4247605818733,-0.3416154384345933,46.09157746648417,162.89504758150053,780.9809123212245,4216.891776538223,735384.3603165009
sparkov,U_both,raw,20261021.0,0.06954444606746187,1.3451638952518725,43.69892787128018,132.52046367749017,487.05548649073955,1430.3182517805535,10091.98808261341
sparkov,U_both,raw,20261022.0,0.0564760948022326,1.348045518441815,45.00741655201642,132.70434878958224,495.9780065434628,1541.498888800315,18350.278147906407
sparkov,U_both,gap,20261021.0,0.06954444606746187,1.3451638952518725,43.696481155202164,132.52956478199522,487.05548649073955,1430.3182517805535,10091.98808261341
sparkov,U_both,gap,20261022.0,0.0564760948022326,1.3477903140326524,45.018898349213416,132.72577929454337,495.7460980971569,1541.498888800315,18350.278147906407
sparkov,G_both,raw,20261021.0,0.15206975644268816,1.2342926670713341,42.51121729273919,128.79062802330213,436.1436832021621,1268.273484286971,11401.607309842524
sparkov,G_both,raw,20261022.0,0.1602694174249667,1.2414704561618373,43.752017765906274,128.51267471777777,442.08762294969,1279.1595158473303,10436.506805662568
sparkov,G_both,gap,20261021.0,0.15206975644268816,1.2342926670713341,42.52976229890969,128.77610009863002,435.51544634264013,1268.273484286971,11401.607309842524
sparkov,G_both,gap,20261022.0,0.1602694174249667,1.240808026262537,43.740187738115985,128.48863769219878,441.8142681772338,1279.1595158473303,10436.506805662568
sparkov,D_both,raw,20261021.0,0.07138676838431782,1.3815415972430567,45.05542329071702,131.32845883834705,480.5585861053048,1423.2629036086219,10728.932068661561
sparkov,D_both,raw,20261022.0,0.12307942704271144,1.3785087041971926,44.47792529263546,130.82524058728663,476.48192647155474,1542.7106276145196,22516.271627211336
sparkov,D_both,gap,20261021.0,0.07138676838431782,1.3815415972430567,45.05542329071702,131.32845883834705,480.5585861053048,1423.2629036086219,10728.932068661561
sparkov,D_both,gap,20261022.0,0.12307942704271144,1.3785087041971926,44.49563258716883,130.83039098375096,476.48192647155474,1542.7106276145196,22516.271627211336
berka,observed_fit,observed,,0.0,14.6,2077.0,18469.0,45493.95999999996,62500.0,87400.0
berka,observed_validation,observed,,0.0,14.6,2121.0,18702.0,45960.39999999976,62934.00000000256,80700.0
sparkov,observed_fit,observed,,1.0,1.26,47.77,134.24,540.6987999999989,1497.5776800000785,27390.12
sparkov,observed_validation,observed,,1.0,1.27,49.06,145.07399999999996,577.1416000000003,1462.0154400000208,14407.25
