prevalence,kappa,trial,model,repeat,generation_seed,group,generated_entities,validation_entities,amount_ks,amount_lag1_acf_error,amount_scaled_w1,gap_conditioned_mark_tv,gap_ks,gap_lag1_acf_error,gap_repeat_mi_error,gap_scaled_w1,gap_zero_rate_error,length_scaled_w1,mark_sparse_tv,short_gap_repeat_curve_l1,transition_conditioned_mark_tv
0.05,0,0,Ucal,3,2026092103,context_1,90,331,0.028268849681935278,0.02769220109313033,0.05882375595193764,0.06739309548230044,0.045190315825750796,0.037821900638234984,0.0010132514938121892,0.06212767751529028,0.0,0.08430261832829809,0.04464341503861722,0.018788181193536924,0.16449344165865898
0.05,0,0,Ucal,3,2026092103,pooled,2048,6846,0.029481015868526472,0.0012686339641386059,0.05962583473663709,0.020073720378263746,0.024161799729702893,0.033193275638965916,5.1771892417997074e-05,0.051906737434544804,0.0,0.011237280152187418,0.015801273375520546,0.0059944139182582885,0.045675371550222964
0.05,0,0,Ucal,4,2026092104,context_0,1958,6515,0.03209341376596253,0.0017941430300581376,0.06074732383424923,0.022072713009607732,0.021299380416672037,0.03603312799438682,3.5330683701008435e-05,0.05163850387608006,0.0,0.012005443162906044,0.017320785902331187,0.0045103034670076056,0.04876934416128319
0.05,0,0,Ucal,4,2026092104,context_1,90,331,0.042739048876111255,0.01576194938664624,0.06610628923355615,0.0799844089326278,0.036029521023209006,0.0015997227827864308,0.00033169979652038174,0.05658229384459437,0.0,0.08430261832829809,0.05862332170918328,0.01651341516062083,0.1735388691752919
0.05,0,0,Ucal,4,2026092104,pooled,2048,6846,0.03220370629663688,0.0010084551115932395,0.06098457120422378,0.01857558189254126,0.021935891326731682,0.03448547595129291,3.415684414718572e-05,0.05148697480536463,0.0,0.011237280152187418,0.014286694502266772,0.004194745312748328,0.04554710060511484
0.05,0,0,E,0,2026092100,context_0,1958,6515,0.03602987941836666,0.004416547395309547,0.06647778707865037,0.018250532282747315,0.020227563201631993,0.021441501237545124,9.763367519539034e-07,0.05133269428611557,0.0,0.012005443162906044,0.012992554748808447,0.0020233332393447116,0.04609868781680976
0.05,0,0,E,0,2026092100,context_1,90,331,0.02991312268943552,0.0291528779786963,0.05123974321088387,0.08951385169352094,0.030506534907155245,0.015558584536014747,0.0008155251557639303,0.05092518795939902,0.0,0.08430261832829809,0.06008192045028189,0.01485365856543038,0.17555543803478663
0.05,0,0,E,0,2026092100,pooled,2048,6846,0.0351670566346865,0.0030048096408314883,0.06571166016214174,0.0178431767910801,0.020304258867918312,0.021213865286224307,4.100477456353687e-06,0.051216773628469194,0.0,0.011237280152187418,0.011939265631543721,0.0021912280884490635,0.04567224943593326
0.05,0,0,E,1,2026092101,context_0,1958,6515,0.03960483172502366,0.0030971193918944533,0.06960352657195625,0.017640314062119727,0.022262927687651035,0.026434948352516335,5.107770078550668e-05,0.05214250269446104,0.0,0.012005443162906044,0.012393585831016945,0.004395903653225159,0.04862249410873834
0.05,0,0,E,1,2026092101,context_1,90,331,0.03465516082943151,0.017563825986799793,0.07068817367910156,0.08562442395644583,0.03889777524714273,0.0008260663476207936,0.0031049776161728455,0.05894402009529981,0.0,0.08430261832829809,0.04815975055844294,0.02962141709308696,0.1762876250735135
0.05,0,0,E,1,2026092101,pooled,2048,6846,0.038333440464375756,0.0023989424147957223,0.06881406184467294,0.01863890088153128,0.02303570633377483,0.025289997894344857,5.351896393903147e-05,0.05223606011248813,0.0,0.011237280152187418,0.01239154492555961,0.0048228721444454805,0.048525697280973
0.05,0,0,E,2,2026092102,context_0,1958,6515,0.04041170544396744,0.005648028567059604,0.07079328354973176,0.016325552773034647,0.020901989284279998,0.023484571693136225,1.2623043764114461e-05,0.05186796327123784,0.0,0.012005443162906044,0.010144146606268301,0.003352017234580831,0.047964682839458345
0.05,0,0,E,2,2026092102,context_1,90,331,0.046061562494853936,0.01947510114097948,0.07415865433731605,0.0776561538359337,0.03159225226102668,0.0813881326655995,0.000742388489390987,0.05658374366215419,0.0,0.08430261832829809,0.050460252424050445,0.012614897894373405,0.18387707483007093
0.05,0,0,E,2,2026092102,pooled,2048,6846,0.039134743558760454,0.004296729786181113,0.07078147843775759,0.01625148404355392,0.021344167850485096,0.026060940587327483,3.584714604384508e-06,0.051892041064124726,0.0,0.011237280152187418,0.011434299862394947,0.003039350843887359,0.045776080896033876
0.05,0,0,E,3,2026092103,context_0,1958,6515,0.03776859770402852,0.0035437201090839274,0.06709808202118575,0.02063929429554213,0.020138255559130513,0.02953117152199619,8.847603587733825e-05,0.05135148159172154,0.0,0.012005443162906044,0.014384488077709433,0.007953032961737942,0.04874551876329781
0.05,0,0,E,3,2026092103,context_1,90,331,0.031138423665642647,0.027005373930751995,0.06453608335851661,0.07313028019649949,0.0456685559022692,0.02585553241503291,0.0009303609440136059,0.06096976094878523,0.0,0.08430261832829809,0.04520330672327323,0.017437231056062305,0.17091988797450405
0.05,0,0,E,3,2026092103,pooled,2048,6846,0.03705697639367356,0.0021661259509433693,0.06686031889253576,0.019282296641790625,0.019898968765529212,0.029377271177803962,7.678505150096951e-05,0.05132897957967312,0.0,0.011237280152187418,0.01446455674859056,0.008038825597737186,0.04632327879782899
0.05,0,0,E,4,2026092104,context_0,1958,6515,0.040067684783332946,0.002092441500535572,0.06845628151081289,0.020572253440284113,0.02094202434164405,0.03767622086136643,3.0250374695633763e-05,0.05126571662008379,0.0,0.012005443162906044,0.01655274468653157,0.0032182200722759837,0.04839623381755078
0.05,0,0,E,4,2026092104,context_1,90,331,0.05162094609989654,0.011277331201161889,0.07500621765143857,0.08417364436718529,0.030928272729202486,0.0009327985459973154,0.0006886072242794073,0.058982789939614776,0.0,0.08430261832829809,0.059081826981993914,0.023239979174268236,0.17191852036608163
0.05,0,0,E,4,2026092104,pooled,2048,6846,0.04020783029863445,0.001496840877485122,0.0687246440103997,0.01968153670663791,0.020709548970307412,0.035936790364620816,4.251916202182199e-05,0.051240543258480147,0.0,0.011237280152187418,0.01648246189699892,0.004088982932842881,0.04682559584824044
0.05,0,0,Ecal,0,2026092100,context_0,1958,6515,0.03597260690205939,0.004418770032813109,0.06645785954712234,0.018348710857959877,0.020249890112257418,0.021128417418011525,5.2773676665775866e-06,0.05133132267126202,0.0,0.012005443162906044,0.013505956678344028,0.0055899755742903024,0.046004784136990724
0.05,0,0,Ecal,0,2026092100,context_1,90,331,0.029454617416624883,0.028851979441806355,0.0512236970374735,0.09209611691201981,0.03098477498367366,0.021446998880607263,0.0010471220594319892,0.051083900953085196,0.0,0.08430261832829809,0.060998930995903165,0.01736058358121196,0.17601900371169904
0.05,0,0,Ecal,0,2026092100,pooled,2048,6846,0.03510574204999062,0.0030210471432176363,0.06568860040433198,0.01798330773704452,0.020325589925938803,0.02116464589500966,1.1138075903869291e-05,0.05121323843553493,0.0,0.011237280152187418,0.01244290174802432,0.006082785135097319,0.045669798717001005
0.05,0,0,Ecal,1,2026092101,context_0,1958,6515,0.03964761521915161,0.0031691457326586815,0.06958047994412304,0.017948507228867993,0.02228525459827646,0.025973455820210545,5.577491227604499e-05,0.05214275693852747,0.0,0.012005443162906044,0.012425113604575877,0.007332016636112524,0.048315200320000064
0.05,0,0,Ecal,1,2026092101,context_1,90,331,0.03423974621609788,0.01778138273381484,0.07063288634477756,0.08735880652091997,0.03889777524714273,0.0005105566836398345,0.0037748410834752507,0.05882126101238539,0.0,0.08430261832829809,0.047775033019437134,0.03192110799061789,0.17807981800653594
0.05,0,0,Ecal,1,2026092101,pooled,2048,6846,0.03837431685417303,0.0024590297175312937,0.06878629515304668,0.01865191957255848,0.02305703739179532,0.024834201295644134,5.763739685019846e-05,0.052233849136754586,0.0,0.011237280152187418,0.011893054815218511,0.007442712999797533,0.04820759796332014
0.05,0,0,Ecal,2,2026092102,context_0,1958,6515,0.04046089402116937,0.005682418555866298,0.07075242802940636,0.016880316862643727,0.020901989284279998,0.023930729928742206,1.7476161028324945e-05,0.0518696294480962,0.0,0.012005443162906044,0.010600036789705393,0.0033573116199121277,0.047475510905534465
0.05,0,0,Ecal,2,2026092102,context_1,90,331,0.0457281980054246,0.01934745429976347,0.07422015124907966,0.0781116362495124,0.02920105187843462,0.08264147413056488,0.0007909908897236772,0.055156640197613856,0.0,0.08430261832829809,0.05137726296967174,0.012967972880032815,0.1824190618431863
0.05,0,0,Ecal,2,2026092102,pooled,2048,6846,0.03918171316254532,0.0043366902047327315,0.07074571036422984,0.016381187520860714,0.021237512560382754,0.026542140944898554,7.165785727284021e-06,0.051865821071371006,0.0,0.011237280152187418,0.011679558201178511,0.003135441705940583,0.04509861802951742
0.05,0,0,Ecal,3,2026092103,context_0,1958,6515,0.03770442246283656,0.0036191781202862734,0.06709313227247742,0.020540924051130414,0.02016058246975594,0.029889239512479848,8.597308919675218e-05,0.05135424613410473,0.0,0.012005443162906044,0.01454558988579148,0.0067903456645396956,0.04847001075297546
0.05,0,0,Ecal,3,2026092103,context_1,90,331,0.031094300207403204,0.02704428360912755,0.06458559205997007,0.07437879512292042,0.04662503605530603,0.025341959623435675,0.0007257959117627851,0.062360823971116,0.0,0.08430261832829809,0.04732863444323052,0.017366591807088244,0.16997812577944132
0.05,0,0,Ecal,3,2026092103,pooled,2048,6846,0.037011290240333394,0.002237030464744897,0.06685780306989733,0.01949211580161642,0.019898968765529212,0.029698568387238458,7.309408877438292e-05,0.051343987061186605,0.0,0.011237280152187418,0.015031576088941916,0.006254146588383032,0.046114544611327746
0.05,0,0,Ecal,4,2026092104,context_0,1958,6515,0.04015012232804366,0.0021036886889112425,0.06839119747623167,0.020570657294765263,0.02085271669914257,0.03738652933369141,4.2247179292273116e-05,0.051268006447149905,0.0,0.012005443162906044,0.016509961192403607,0.006884477974602812,0.04782664456584379
0.05,0,0,Ecal,4,2026092104,context_1,90,331,0.052537956645517817,0.011805197572035039,0.07486621883052981,0.08415293097762583,0.030928272729202486,0.0009864262872432833,0.0008336605413283473,0.05879564810991408,0.0,0.08430261832829809,0.05816481643637265,0.02341567663141648,0.17245905144764753
0.05,0,0,Ecal,4,2026092104,pooled,2048,6846,0.040248706688431723,0.0014845674135641053,0.06865541552306706,0.01949914517942831,0.02062422473822545,0.035659186890849306,5.729138371687707e-05,0.051242186433743626,0.0,0.011237280152187418,0.01615545077862085,0.006189516039431093,0.04613012198602316
0.05,0,1,U,0,2026092200,context_0,1957,6515,0.04690426592855662,0.004202588371967276,0.07539332074848795,0.01622789112594355,0.023843310655777217,0.017672500596800547,0.00010394848501716069,0.05254551400704328,0.0,0.01467000997266243,0.011484708457687409,0.006385578032190602,0.0472321115861828
0.05,0,1,U,0,2026092200,context_1,91,331,0.057184927259162945,0.0288330620085029,0.08126044461677623,0.08668869583890432,0.030651166567822366,0.018140835256050897,0.0030403466777713484,0.05935282697620105,0.0,0.028717506058895774,0.046855129553508686,0.027847184878438843,0.1863828639131671
0.05,0,1,U,0,2026092200,pooled,2048,6846,0.04712210352063534,0.005291258946722467,0.07562751788961963,0.01652620278745639,0.02385199368449531,0.017690469898691635,0.00013630324676720492,0.05244436590104842,0.0,0.014722275239418995,0.010523007360816045,0.006893913157788246,0.04621928939713277
0.05,0,1,U,1,2026092201,context_0,1957,6515,0.04574207450740864,0.0004910233692171132,0.07411186756754476,0.0178522213958929,0.025400893392900636,0.020017074028462173,3.4720409952232825e-05,0.052896740347059816,0.0,0.01467000997266243,0.01301441891268525,0.003948099981389263,0.048691442038587746
0.05,0,1,U,1,2026092201,context_1,91,331,0.05502688491113732,0.0001720926787236246,0.08978609485774587,0.0632282687019409,0.031426458609666724,0.04736759312198063,0.0006908644082143843,0.05791820229821142,0.0,0.028717506058895774,0.03682492329401532,0.028323553566815627,0.17251094202864928
0.05,0,1,U,1,2026092201,pooled,2048,6846,0.04575535729436142,0.00045057134162098083,0.07475450357728103,0.018035114856072513,0.02474029976939196,0.021329167001537294,2.5084873428339995e-05,0.052527198693961316,0.0,0.014722275239418995,0.013469689919070015,0.0031612213984323363,0.048320769442822493
0.05,0,1,U,2,2026092202,context_0,1957,6515,0.04320156510844919,0.0012434656156743796,0.07511913154822611,0.019368206087698178,0.020130626115060113,0.0150007443118199,6.171822694517537e-05,0.051364557779620075,0.0,0.01467000997266243,0.011563254873963962,0.004584852905727962,0.04881180162912062
0.05,0,1,U,2,2026092202,context_1,91,331,0.030168655055509523,0.012177886159362527,0.0651326222333863,0.07608619596141089,0.03305357525168384,0.03870656067523326,0.00014167718615981412,0.05318823380272617,0.0,0.028717506058895774,0.05246475036336348,0.014738512362335227,0.16975585569072155
0.05,0,1,U,2,2026092202,pooled,2048,6846,0.04165394392184979,0.001963387250239269,0.0741599606367108,0.01898118620433326,0.020425670214179514,0.015998857997957208,5.974596040497467e-05,0.05126900994144589,0.0,0.014722275239418995,0.010713812696264365,0.0044995536577582,0.04756814872347035
0.05,0,1,U,3,2026092203,context_0,1957,6515,0.04497148276374635,0.004429329188895552,0.07085730168772024,0.016717001791121802,0.02160676865971889,0.0341293193033978,1.8313137708907644e-05,0.051548363406979755,0.0,0.01467000997266243,0.012702194359057731,0.0030697321461482597,0.043638778167262623
0.05,0,1,U,3,2026092203,context_1,91,331,0.04132467598121995,0.002272863569269201,0.0674824038012984,0.08739975446813993,0.033603699155681004,0.02345687276553292,0.0018812922181465357,0.05600896446247997,0.0,0.028717506058895774,0.06246074506662294,0.025167096270188677,0.18110850568025755
0.05,0,1,U,3,2026092203,pooled,2048,6846,0.0443453400957996,0.004132623144586173,0.0706989462196787,0.017033424755738342,0.02175802471439864,0.033628376033717225,2.6628981907556677e-05,0.05156195288601229,0.0,0.014722275239418995,0.012788582630717252,0.003936589162295638,0.044780108374336616
0.05,0,1,U,4,2026092204,context_0,1957,6515,0.04399774129549616,0.0032749594056264474,0.07255500745112713,0.018499221208720548,0.022115971563760772,0.023589992880837504,5.550352644626786e-05,0.05204847072158212,0.0,0.01467000997266243,0.011347971978595139,0.004786281245883143,0.049155588692112735
0.05,0,1,U,4,2026092204,context_1,91,331,0.031139245388070166,0.016891701217887595,0.06678755946227166,0.07426508812020984,0.0459597699593713,0.03803718586405866,0.00010064655853919734,0.07506037796721521,0.0,0.028717506058895774,0.03195065302509603,0.024253164632963727,0.17067498244804002
0.05,0,1,U,4,2026092204,pooled,2048,6846,0.04284580963229323,0.0037455110320069917,0.07185755177863394,0.018789927087771264,0.02264633079929529,0.024298565203111397,5.640844493054562e-05,0.05228919532785951,0.0,0.014722275239418995,0.011049305337580244,0.004492098095544994,0.0464514778622498
0.05,0,1,Ucal,0,2026092200,context_0,1957,6515,0.04686181750339319,0.004242917263376511,0.0753907283502405,0.016158647601751095,0.023821166675618233,0.017623168161846975,0.00010882571039035706,0.05255021630642978,0.0,0.01467000997266243,0.011389506595956068,0.005994947434964275,0.04711931306718559
0.05,0,1,Ucal,0,2026092200,context_1,91,331,0.057184927259162945,0.028717048765421485,0.08128919305123918,0.0865143166836563,0.030651166567822366,0.018610661458081976,0.003003941973929243,0.05935657135395545,0.0,0.028717506058895774,0.04775888011835277,0.026293953873691836,0.18676740179438184
0.05,0,1,Ucal,0,2026092200,pooled,2048,6846,0.047101831469711974,0.005324020147222425,0.07562505125640959,0.01638366895493348,0.02383084353961673,0.01766607346040451,0.00014209751421188585,0.05244735324667158,0.0,0.014722275239418995,0.010401161362312183,0.0064841753310826465,0.04573004048974789
0.05,0,1,Ucal,1,2026092201,context_0,1957,6515,0.045635953444500055,0.0005153629619166313,0.07409076922304013,0.0176045930483388,0.025334461452423684,0.020163019511822144,3.8574911182397966e-05,0.052889944689771755,0.0,0.01467000997266243,0.012826063576007385,0.005888698883590686,0.04871574861937532
0.05,0,1,Ucal,1,2026092201,context_1,91,331,0.05479028796686829,0.0003456813479710283,0.08981402232086458,0.0645012431528335,0.031426458609666724,0.047503466890075896,0.0007053994693348343,0.05781529679895417,0.0,0.028717506058895774,0.03820068023883399,0.023161260014544095,0.1720432205557726
0.05,0,1,Ucal,1,2026092201,pooled,2048,6846,0.04565399703974449,0.0004658464119111686,0.07473709706788342,0.017758973889658424,0.024676849334756445,0.02147344579012661,2.657255930087031e-05,0.05252252089242955,0.0,0.014722275239418995,0.013122317925332336,0.005013231999528614,0.048498186836024075
0.05,0,1,Ucal,2,2026092202,context_0,1957,6515,0.043163755325034914,0.0012444386244865296,0.07510531006698905,0.019186000256148604,0.020042050194424177,0.015061991560469154,7.032685734206112e-05,0.051356687247209,0.0,0.01467000997266243,0.01145713381105537,0.005272876179479252,0.048522956818994954
0.05,0,1,Ucal,2,2026092202,context_1,91,331,0.030168655055509523,0.011853141551781023,0.06485847480975485,0.07758980974646527,0.03352482878608535,0.0383817220101835,0.00011019740563244563,0.053270949199606635,0.0,0.028717506058895774,0.05790738484998065,0.012616737049353437,0.17209204895685473
0.05,0,1,Ucal,2,2026092202,pooled,2048,6846,0.04157285571815622,0.0019490153712468908,0.0741270941563465,0.01890546706614368,0.020383369924422468,0.016044623656820967,6.575854755889099e-05,0.05126711311781311,0.0,0.014722275239418995,0.010713812696264344,0.005061596057254662,0.047536789078462004
0.05,0,1,Ucal,3,2026092203,context_0,1957,6515,0.045013931188909784,0.004377787225523685,0.07084427058142928,0.01634540506853317,0.021518192739082898,0.03436437999753367,2.3225929399119224e-05,0.051528458945014115,0.0,0.01467000997266243,0.01259607329614914,0.004960816601665519,0.04381013565531333
0.05,0,1,Ucal,3,2026092203,context_1,91,331,0.041776551263642,0.002276484470262758,0.06755431216035046,0.08766700658346309,0.033603699155681004,0.023459078838265562,0.001581553551962744,0.05600463313666674,0.0,0.028717506058895774,0.06426824619631114,0.023017489719205517,0.17896292821907772
0.05,0,1,Ucal,3,2026092203,pooled,2048,6846,0.044385884197646386,0.004083667185365432,0.07069155792325006,0.016731305857080214,0.021673424134884656,0.03385271161376628,2.830678572271982e-05,0.051541278341466275,0.0,0.014722275239418995,0.01266695032517692,0.005703215658867576,0.04463459549153397
0.05,0,1,Ucal,4,2026092204,context_0,1957,6515,0.04399774129549616,0.0033227995218061217,0.07253883124485172,0.018609198821865812,0.022115971563760772,0.023579245992539896,5.5356584315972076e-05,0.05207679520732927,0.0,0.01467000997266243,0.011963474143464829,0.005412406719933669,0.0491141806930167
0.05,0,1,Ucal,4,2026092204,context_1,91,331,0.03159112067049222,0.01734127251301787,0.06683021173029005,0.07987343138268199,0.04501726289056829,0.03656390251297312,0.0004913132091182914,0.07479477077727896,0.0,0.028717506058895774,0.0388682296955969,0.010705114662271484,0.17405774931668538
0.05,0,1,Ucal,4,2026092204,pooled,2048,6846,0.042825537581369866,0.0038096204919697155,0.07184087577536664,0.01908429523064646,0.02262518065441682,0.024221330721452897,6.185420369802478e-05,0.0523213678059468,0.0,0.014722275239418995,0.011839915323592515,0.005404064225092219,0.04680006033816198
0.05,0,1,E,0,2026092200,context_0,1957,6515,0.04696004191833508,0.004266927868522785,0.07560091683770799,0.016353892510384174,0.023466862993074322,0.01827967817663556,9.731730630330686e-05,0.05230985195936357,0.0,0.01467000997266243,0.011207501693328528,0.00562068451214501,0.04649746647864608
0.05,0,1,E,0,2026092200,context_1,91,331,0.05869345897098538,0.0284919474576694,0.08171406966585384,0.08361722584750693,0.031108516277318556,0.01893791719436745,0.003998331397680915,0.05922364303331826,0.0,0.028717506058895774,0.04143262616444402,0.029800095322981335,0.18297696209387943
0.05,0,1,E,0,2026092200,pooled,2048,6846,0.04723656525379044,0.005338217068410126,0.07585190868126375,0.01664938386425756,0.023196339193262028,0.018307321981985494,0.0001307344965962695,0.052194879188773864,0.0,0.014722275239418995,0.010346904718869104,0.006127582656545001,0.04551412982609377
0.05,0,1,E,1,2026092201,context_0,1957,6515,0.04573214768899825,0.0005158868431580849,0.07437995965687674,0.016718099685171836,0.024625854087335863,0.01990549344170528,4.357573053152152e-05,0.05265542652993412,0.0,0.01467000997266243,0.012490754296024711,0.0032536368594995703,0.04821563216896714
0.05,0,1,E,1,2026092201,context_1,91,331,0.054867136735334256,0.0011880307551446019,0.09040252583904852,0.06338362502844272,0.03284021921287125,0.050094611590916965,0.0009964416482099593,0.05823241683548788,0.0,0.028717506058895774,0.031756127812790746,0.023335557307973556,0.17029656190207526
0.05,0,1,E,1,2026092201,pooled,2048,6846,0.04571434924409207,0.0004270349037448016,0.07503696416461722,0.017612446987797965,0.02393659426400918,0.021350216837303287,3.1422702033321204e-05,0.05227763585456273,0.0,0.014722275239418995,0.012935497778371151,0.0024148753961645087,0.048085450207982855
